"id","title","thumb_url","media_url","iframe_string"
1,"ProleteR • Live Set by Le Mellotron","https://i1.sndcdn.com/artworks-000190022284-9i9vvs-t500x500.jpg","https://soundcloud.com/lemellotron/proleter-live-set","<iframe width=""100%"" height=""150"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F284191021&show_artwork=true&maxheight=150""></iframe>"
2,"LeBRON - Mixtape For Breakbot 6 by LeBRON","https://i1.sndcdn.com/artworks-my8F3uC2zfOY85wj-qo1Cyg-t500x500.jpg","https://soundcloud.com/thisislebron/lebron-mixtape-for-breakbot-6","<iframe width=""100%"" height=""150"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F778754359&show_artwork=true&maxheight=150""></iframe>"
3,"Bohan Phoenix | Boiler Room x Vans Musicians Wanted: HOV Chicago by Boiler Room","https://i1.sndcdn.com/artworks-y8aBUvFLffAV1rln-S8z79g-t500x500.jpg","https://soundcloud.com/platform/bohan-phoenix-boiler-room-x-vans-musicians-wanted-hov-chicago","<iframe width=""100%"" height=""150"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F762720301&show_artwork=true&maxheight=150""></iframe>"
4,"Cezaire - The West Coast Interlude by Roche Musique","https://i1.sndcdn.com/artworks-Ixi7ZfsJAMq87aZ1-1DNFqA-t500x500.jpg","https://soundcloud.com/rochemusique/cezaire-the-west-coast-interlude","<iframe width=""100%"" height=""150"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F771669826&show_artwork=true&maxheight=150""></iframe>"
5,"D29 ~ LeBRON (Funk/Disco) by La Salle De Jeux","https://i1.sndcdn.com/artworks-U7NwUwq0TY2ksS4k-cEzcow-t500x500.jpg","https://soundcloud.com/lasalledejeux/d29","<iframe width=""100%"" height=""150"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F768962413&show_artwork=true&maxheight=150""></iframe>"
6,"Shad - The Fool Pt 3 (Frame Of Mind) (Official Video)","https://i.ytimg.com/vi/dJobkImCpkQ/hqdefault.jpg","https://www.youtube.com/watch?v=dJobkImCpkQ","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/dJobkImCpkQ?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
7,"Tech N9ne Feat. Krizz Kaliko: NPR Music Tiny Desk Concert","https://i.ytimg.com/vi/Y-9ZQCS3Pb0/hqdefault.jpg","https://www.youtube.com/watch?v=Y-9ZQCS3Pb0","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/Y-9ZQCS3Pb0?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
8,"Yo Yo Ma - Bach Six Cello Suites - BBC Proms 2015","https://i.ytimg.com/vi/Nu9MDqGhIak/hqdefault.jpg","https://www.youtube.com/watch?v=Nu9MDqGhIak","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/Nu9MDqGhIak?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
9,"Monsune - Nothing in Return (Official Video)","https://i.ytimg.com/vi/XDN2wbm6zi8/hqdefault.jpg","https://www.youtube.com/watch?v=XDN2wbm6zi8","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/XDN2wbm6zi8?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
10,"Iggy Azalea - Beg For It (Lyric Video) ft. MØ","https://i.ytimg.com/vi/9j5vmAH9VeE/hqdefault.jpg","https://www.youtube.com/watch?v=9j5vmAH9VeE","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/9j5vmAH9VeE?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allowfullscreen></iframe>"
11,"The Geek x VRV - Origami (Music Video)","https://i.ytimg.com/vi/yJ4EKVmEvN8/hqdefault.jpg","https://www.youtube.com/watch?v=yJ4EKVmEvN8","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/yJ4EKVmEvN8?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allowfullscreen></iframe>"
12,"Don't miss it - Music Video / THREE1989","https://i.ytimg.com/vi/HjfGhFm8RGs/hqdefault.jpg","https://youtu.be/HjfGhFm8RGs","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/HjfGhFm8RGs?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
13,"Migos x Rich The Kid ""Dat Way"" (WSHH Exclusive - Official Audio)","https://i.ytimg.com/vi/1LyBaUpJ_Rk/hqdefault.jpg","https://www.youtube.com/watch?v=1LyBaUpJ_Rk&amp;index=104","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/1LyBaUpJ_Rk?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allowfullscreen></iframe>"
14,"Crenshaw/80s and Cocaine (feat. Anderson .Paak &amp; Sonyae)","https://i.ytimg.com/vi/88e84Gxnb1E/hqdefault.jpg","https://youtu.be/88e84Gxnb1E","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/88e84Gxnb1E?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
15,"Full opening naruto Blue Bird [Lyrics]","https://i.ytimg.com/vi/Dp8EuP_0gWI/hqdefault.jpg","https://www.youtube.com/watch?v=Dp8EuP_0gWI","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/Dp8EuP_0gWI?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
16,"Skepta - No Sleep | A COLORS SHOW","https://i.ytimg.com/vi/87yKlmg3sN4/hqdefault.jpg","https://www.youtube.com/watch?v=87yKlmg3sN4","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/87yKlmg3sN4?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
17,"Skepta - 'Greaze Mode' ft. Nafe Smallz (Official Video)","https://i.ytimg.com/vi/cHL-fNnDwU0/hqdefault.jpg","https://www.youtube.com/watch?v=cHL-fNnDwU0","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/cHL-fNnDwU0?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
18,"Fkj &amp; Masego - Tadow (Slowed + Reverb)","https://i.ytimg.com/vi/Leu8qdCffUw/hqdefault.jpg","https://youtu.be/Leu8qdCffUw","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/Leu8qdCffUw?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
19,"Common - I Want You (Kaytranada Edition)","https://i.ytimg.com/vi/9CeqYwkODQs/hqdefault.jpg","https://www.youtube.com/watch?v=9CeqYwkODQs","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/9CeqYwkODQs?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
20,"SYNTHWAVE - Dark Gaming Mix (80 minutes - 2016)","https://i.ytimg.com/vi/nomNAAMDReE/hqdefault.jpg","https://www.youtube.com/watch?v=nomNAAMDReE","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/nomNAAMDReE?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allowfullscreen></iframe>"
21,"🥥 poolside.fm presents #7 🥥 an hour of summer with Ekkah by Poolside FM","https://i1.sndcdn.com/artworks-ppvH471ob1feA6XZ-sblhcQ-t500x500.jpg","https://soundcloud.com/poolsidefm/poolsidefm-presents-an-hour-of-summer-with-ekkah","<iframe width=""100%"" height=""150"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F863799427&show_artwork=true&maxheight=150""></iframe>"
22,"Dipset Pack by InGoodCompany","http://i1.sndcdn.com/artworks-000317578071-0uuxek-t500x500.jpg","https://soundcloud.com/ingoodcomp/sets/dipset-pack","<iframe width=""100%"" height=""150"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Fplaylists%2F473717733&show_artwork=true&maxheight=150""></iframe>"
23,"""I'm On Hold"" by Alex Cornell by Alex Cornell","http://a1.sndcdn.com/images/fb_placeholder.png?1539018782","https://soundcloud.com/alexcornell/im-on-hold-by-alex-cornell","<iframe width=""100%"" height=""150"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F47334593&show_artwork=true&maxheight=150""></iframe>"
24,"Mark Ronson - Daffodils (Audio) ft. Kevin Parker","https://i.ytimg.com/vi/-OWkLF2HLp0/hqdefault.jpg","https://youtu.be/-OWkLF2HLp0","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/-OWkLF2HLp0?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""autoplay; encrypted-media"" allowfullscreen></iframe>"
25,"Bon Voyage Organisation - Love Soup","https://i.ytimg.com/vi/EWFeLRaNHAg/hqdefault.jpg","https://youtu.be/EWFeLRaNHAg","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/EWFeLRaNHAg?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
26,"[Eng sub] Kasaneteku / Winning in a singles mixer !? / Japanese commercial","https://i.ytimg.com/vi/oMg_qEF7EFI/hqdefault.jpg","https://www.youtube.com/watch?v=oMg_qEF7EFI","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/oMg_qEF7EFI?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allowfullscreen></iframe>"
27,"Pinned Upon - POLOSHIRT by POLOSHIRT","http://i1.sndcdn.com/artworks-000360140847-ptenx5-t500x500.jpg","https://soundcloud.com/poloshirtmusic/pinned-upon-poloshirt","<iframe width=""100%"" height=""150"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F457697307&show_artwork=true&maxheight=150""></iframe>"
28,"【Rainych】 SAY SO - Doja Cat | Japanese Version (cover)","https://i.ytimg.com/vi/EsZbWAqU8xY/hqdefault.jpg","https://www.youtube.com/watch?v=EsZbWAqU8xY","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/EsZbWAqU8xY?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
29,"Say So - Doja Cat Reacts To Rainych Japanese Cover Side By Side","https://i.ytimg.com/vi/H5b3W3swwVI/hqdefault.jpg","https://youtu.be/H5b3W3swwVI","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/H5b3W3swwVI?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""accelerometer; autoplay; clipboard-write; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
30,"Make It Work featuring Anderson Paak &amp; Asher Roth by Blended Babies","http://i1.sndcdn.com/artworks-000129229699-2sjit8-t500x500.jpg","https://soundcloud.com/blendedbabies/make-it-work-featuring-anderson-paak-asher-roth","<iframe width=""100%"" height=""150"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F216973169&show_artwork=true&maxheight=150""></iframe>"
31,"I Should Be Dreaming (ft. Josh J.) by Zacari","http://i1.sndcdn.com/artworks-000123057045-c7czp9-t500x500.jpg","https://soundcloud.com/zacarip/i-should-be-dreaming-ft-josh-jar","<iframe width=""100%"" height=""150"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F214446839&show_artwork=true&maxheight=150""></iframe>"
32,"Dominic Fike - Chicken Tenders (Official Video)","https://i.ytimg.com/vi/bwva7kLB2SQ/hqdefault.jpg","https://youtu.be/bwva7kLB2SQ","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/bwva7kLB2SQ?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
33,"Flume - Holdin On (Kaytranada Edit)","https://i1.sndcdn.com/artworks-000049815283-tn70sd-t500x500.jpg","https://soundcloud.com/soundisstyle/flume-holdin-on-kaytranada",
34,"Gallant - Skipping Stones feat. Jhené Aiko (Official Video)","https://i.ytimg.com/vi/9GkH7qG8HO0/hqdefault.jpg","https://www.youtube.com/watch?v=9GkH7qG8HO0","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/9GkH7qG8HO0?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
35,"ヤマタツ - KAKATO(環ROY×鎮座DOPENESS)","https://i.ytimg.com/vi/F2Fzvn41-1w/hqdefault.jpg","https://www.youtube.com/watch?v=F2Fzvn41-1w","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/F2Fzvn41-1w?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
36,"KAKATO / さみーね","https://i.ytimg.com/vi/VInqb9FSpaQ/hqdefault.jpg","https://www.youtube.com/watch?v=VInqb9FSpaQ","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/VInqb9FSpaQ?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
37,"The Weeknd - Loft Music","https://i.ytimg.com/vi/HOdNMwTNNhA/hqdefault.jpg","https://youtu.be/HOdNMwTNNhA","<iframe width=""400"" height=""225"" src=""https://www.youtube.com/embed/HOdNMwTNNhA?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
38,"Suchmos Mix by U E P O N","http://i1.sndcdn.com/artworks-000177667765-n8fju7-t500x500.jpg","https://soundcloud.com/ueponmasa/suchmos-mix","<iframe width=""100%"" height=""150"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F279164285&show_artwork=true&maxheight=150""></iframe>"
39,"2¢ RADIO Episode 2 (2.22.17) by 2¢ (Craze &amp; FCZ)","http://i1.sndcdn.com/artworks-000209086053-ywb7lx-t500x500.jpg","https://soundcloud.com/weare2cents/2-radio-episode-2-22217","<iframe width=""100%"" height=""150"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F309047171&show_artwork=true&maxheight=150""></iframe>"
137,"Yung Calgary by St.Mdnght","http://i1.sndcdn.com/artworks-000187032646-ur0jpw-t500x500.jpg","https://soundcloud.com/st-mdnght/yung-calgary","<iframe width=""100%"" height=""150"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F286484717&show_artwork=true&maxheight=150""></iframe>"
40,"Black Cotton Remixed, Vol.2 (SAMPLER Mini Mix) **FREE DL** by Freshly Squeezed (Record Label)","http://i1.sndcdn.com/artworks-000209023961-vwj7z4-t500x500.jpg","https://soundcloud.com/freshlysqueezed/black-cotton-remixed-vol2-mini-mix","<iframe width=""100%"" height=""150"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F308989037&show_artwork=true&maxheight=150""></iframe>"
41,"Amsterjam with June Marieezy (Live video in description) by FKJ","https://i1.sndcdn.com/artworks-000169458140-drsczl-t500x500.jpg","https://soundcloud.com/fkj-2/amsterjam-with-june-marieey-live-video-in-description","<iframe width=""100%"" height=""150"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F271418474&show_artwork=true&maxheight=150""></iframe>"
42,"DIFANG - ELDERS DRINKING SONG","https://i.ytimg.com/vi/6oHGUr6HEow/hqdefault.jpg","https://www.youtube.com/watch?v=6oHGUr6HEow","<iframe width=""400"" height=""300"" src=""https://www.youtube.com/embed/6oHGUr6HEow?feature=oembed&autoplay=1&iv_load_policy=3"" frameborder=""0"" allow=""accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture"" allowfullscreen></iframe>"
43,"LeBRON - Trippin' For Yasmin by LeBRON","https://i1.sndcdn.com/artworks-ESlymzfdAiOVQj4z-OV3Ptw-t500x500.jpg","https://soundcloud.com/thisislebron/lebron-trippin-for-yasmin-1","<iframe width=""100%"" height=""150"" scrolling=""no"" frameborder=""no"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F823662601&show_artwork=true&maxheight=150""></iframe>"
